	SRR1171523	SRR1171525	SRR1171524	SRR1171527	SRR1171526	SRR1171528
ENSG00000142168.14	5153.70549712291	4263.12067429818	4276.63379784438	4353.95718838387	4567.70097428319	4638.30331395738
ENSG00000142173.14	997.491386539918	999.305874304303	948.154460409839	1150.63141166314	1126.74602372817	1202.11529565447
ENSG00000142178.7	114.862644510657	83.7624806921735	106.344368201104	140.320903861359	119.443041384612	131.121651732503
ENSG00000142182.8	5.03783528555514	2.92194700088977	6.9571082000722	3.00687651131483	2.98607603461529	0
ENSG00000142185.16	3585.93115625815	3627.11021043784	3506.38253283639	4103.3841457743	3824.16804166398	3963.67741115046
ENSG00000142186.16	1804.55259928585	1787.25758221091	1622.00008321683	1873.28406654914	1775.71988191789	1692.57032885238
ENSG00000142188.16	1652.40997366209	1499.93279379008	1555.41061901614	1190.72309848067	1024.22407987304	1057.98157161264
ENSG00000142192.20	19.1437740851095	30.1934523425277	35.7794136003713	0	1.99071735641019	2.00185727835882
ENSG00000142197.12	939.052497227479	1019.75950331053	934.240244009695	1228.81020095733	1255.14729321663	1274.18215767539
ENSG00000142207.6	3223.20701569818	3555.03551774922	3336.43031823462	3962.0609497425	3717.66466309604	3918.63562238739
ENSG00000142208.15	11886.2685727388	11114.1124090511	11253.6194499168	10845.8035763126	10157.635311083	10244.5046220013
ENSG00000142227.10	2989.45145844842	3005.70948158195	2915.02833583025	1930.41472026412	2059.39710520635	2022.87677978159
ENSG00000142230.11	5230.28059346335	4549.47148038538	4504.23062324674	6258.31231221659	5784.02927904982	6085.64612621081
ENSG00000142235.8	19.1437740851095	11.6877880035591	13.9142164001444	13.0297982156976	8.95822810384587	10.0092863917941
ENSG00000142252.10	517.889467355069	434.396120798946	403.512275604187	435.99709414065	400.134188638449	425.394671651249
ENSG00000142279.12	27.2043105419978	22.4015936734883	22.8590698002372	12.0275060452593	21.8978909205121	15.0139295876911
ENSG00000142303.13	135.013985652878	116.877880035591	122.246329801269	112.256723089087	95.5544331076893	117.108650783991
ENSG00000142327.11	2765.77157176977	2562.54751978033	2559.22194502656	2416.52642292668	2279.37137308967	2218.05786442157
ENSG00000142330.19	543.078643782844	504.522848820301	519.795369805394	485.109410492126	502.656132493574	467.433674496784
ENSG00000142347.16	9647.4545718381	9545.02686957326	9098.90365309442	8916.3911482189	8770.10531366511	8853.21381354187
ENSG00000142396.10	1399.51064232722	1338.25172640752	1289.05276221338	1255.87208955916	1281.02661884996	1322.226732356
ENSG00000142405.21	433.253834557742	385.69700411745	405.500020804208	475.086488787743	488.721110998703	449.416958991555
ENSG00000142408.3	4.03026822844411	1.94796466725985	1.98774520002063	0	1.99071735641019	0
ENSG00000142409.5	1585.91054789276	1639.21226749916	1445.090760415	1785.08235555057	1690.11903559225	1543.43196161465
ENSG00000142444.6	530.987839097512	442.187979467986	465.132376804827	503.150669560014	458.86035065255	492.456890476269
ENSG00000142453.11	2140.07242930382	2283.01459002854	2051.35304642129	2625.00319437784	2592.90935672428	2491.31138291755
ENSG00000142459.8	784.894737489491	842.494718589885	669.870132406951	712.629733181614	641.010988764082	571.530252971443
ENSG00000142494.13	1.00756705711103	4.86991166814962	2.98161780003094	4.0091686817531	3.98143471282039	3.00278591753823
ENSG00000142507.9	1965.76332842362	1788.23156454454	1780.02582661847	1857.24739182213	1701.06798105251	1819.68826602817
ENSG00000142512.14	100.756705711103	76.944604356764	98.3933874010211	49.1123163514755	64.6983140833313	34.0315737320999
ENSG00000142513.5	2.01513411422206	0	3.97549040004126	3.00687651131483	1.99071735641019	5.00464319589704
ENSG00000142528.15	1191.95182856235	1168.77880035591	1297.00374301346	1446.30760194243	1488.06122391662	1541.43010433629
ENSG00000142530.10	200.505844365095	169.472926051607	157.03187080163	161.369039440562	135.368780235893	133.123509010861
ENSG00000142534.6	48968.7665426531	45235.6355031082	43772.1370496542	43074.5083167553	43773.8839501038	42941.840478075
ENSG00000142539.9	912.855753742592	804.509407578318	777.208373208065	810.854365884565	806.240529346128	798.741054065168
ENSG00000142541.16	40654.3231873729	35601.9762411746	34675.2211417598	36201.7909040601	35554.2119854861	34686.1810621232
ENSG00000142544.6	248.869063106424	259.07930074556	247.474277402568	280.641807722717	248.839669551274	302.280449032182
ENSG00000142546.13	1134.52050630702	991.514015635263	1018.71941501057	892.040031690065	898.808886419203	839.779128271524
ENSG00000142552.7	80.6053645688823	68.1787633540947	63.6078464006601	59.1352380558583	43.7957818410243	46.0427174022528
ENSG00000142556.18	844.341193859042	1005.14976830608	978.964511010159	1030.35635121055	1051.09876418458	1099.01964581899
ENSG00000142583.17	1578.85757849298	1481.42712945112	1666.7243502173	2212.05882015728	2278.37601441147	2073.92414037974
